month,business_unit,department,location,state,job_family,scenario_name,planned_attrition
2025-07-01,Space Systems,Satellite Engineering,Hartford,CT,Systems Engineer,Budget,56
2025-07-01,Space Systems,Satellite Engineering,Hartford,CT,Systems Engineer,Forecast,62
2025-07-01,Space Systems,Satellite Engineering,Hartford,CT,Software Engineer,Budget,28
2025-07-01,Space Systems,Satellite Engineering,Hartford,CT,Software Engineer,Forecast,32
2025-07-01,Space Systems,Satellite Engineering,Hartford,CT,Program Manager,Budget,10
2025-07-01,Space Systems,Satellite Engineering,Hartford,CT,Program Manager,Forecast,11
2025-07-01,Space Systems,Satellite Engineering,Tampa,FL,Systems Engineer,Budget,14
2025-07-01,Space Systems,Satellite Engineering,Tampa,FL,Systems Engineer,Forecast,8
2025-07-01,Space Systems,Satellite Engineering,Tampa,FL,Software Engineer,Budget,28
2025-07-01,Space Systems,Satellite Engineering,Tampa,FL,Software Engineer,Forecast,28
2025-07-01,Space Systems,Satellite Engineering,Tampa,FL,Program Manager,Budget,0
2025-07-01,Space Systems,Satellite Engineering,Tampa,FL,Program Manager,Forecast,2
2025-07-01,Space Systems,Satellite Engineering,Tucson,AZ,Systems Engineer,Budget,44
2025-07-01,Space Systems,Satellite Engineering,Tucson,AZ,Systems Engineer,Forecast,38
2025-07-01,Space Systems,Satellite Engineering,Tucson,AZ,Software Engineer,Budget,18
2025-07-01,Space Systems,Satellite Engineering,Tucson,AZ,Software Engineer,Forecast,23
2025-07-01,Space Systems,Satellite Engineering,Tucson,AZ,Program Manager,Budget,11
2025-07-01,Space Systems,Satellite Engineering,Tucson,AZ,Program Manager,Forecast,4
2025-07-01,Space Systems,Mission Operations,Hartford,CT,Systems Engineer,Budget,38
2025-07-01,Space Systems,Mission Operations,Hartford,CT,Systems Engineer,Forecast,39
2025-07-01,Space Systems,Mission Operations,Hartford,CT,Software Engineer,Budget,19
2025-07-01,Space Systems,Mission Operations,Hartford,CT,Software Engineer,Forecast,25
2025-07-01,Space Systems,Mission Operations,Hartford,CT,Program Manager,Budget,9
2025-07-01,Space Systems,Mission Operations,Hartford,CT,Program Manager,Forecast,6
2025-07-01,Space Systems,Mission Operations,Tampa,FL,Systems Engineer,Budget,44
2025-07-01,Space Systems,Mission Operations,Tampa,FL,Systems Engineer,Forecast,49
2025-07-01,Space Systems,Mission Operations,Tampa,FL,Software Engineer,Budget,35
2025-07-01,Space Systems,Mission Operations,Tampa,FL,Software Engineer,Forecast,33
2025-07-01,Space Systems,Mission Operations,Tampa,FL,Program Manager,Budget,10
2025-07-01,Space Systems,Mission Operations,Tampa,FL,Program Manager,Forecast,17
2025-07-01,Space Systems,Mission Operations,Tucson,AZ,Systems Engineer,Budget,14
